제목,기사 내용,타임스탬프
중구 ‘도시 안전망 강화’…행안부 특교세 18억 원 받아,"이스라엘방위군(IDF)을 이끄는 헤르지 할레비 참모총장은 팔레스타인 무장정파 하마스의 땅굴에 바닷물을 들이붓는 방안을 긍정 평가했다고 현지 일간 타임스오브이스라엘(TOI)이 5일(현지시간) 보도했다.할레비 총장은 이날 취재진을 만나 IDF가 이런 방안을 추진 중이라는 보도와 관련한 질문에 “적으로부터 터널이라는 자산을 빼앗는 것은 우리가 검토 중인 것 중 하나”라며 “구체적 내용에 대해서는 언급하지 않겠다”고 답했다.이는 땅굴 침수 계획 보도와 관련한 사실상 이스라엘의 첫 공식 반응이다.전날 미국 일간 월스트리트저널(WSJ)은 미국 정부 당국자를 인용, IDF가 하마스 소탕을 위해 터널을 침수시키는 계획을 추진하고 있다고 보도했다. 이스라엘은 이미 가자지구 알샤티 난민캠프 북쪽에 대형 펌프를 5대 이상 설치했으며, 이를 가동하면 시간당 수천㎥를 끌어와 몇 주 내로 지하 터널을 물에 잠기게 할 수 있다는 것이다. 알샤티 난민 캠프는 가자 북부 지역이면서 지중해에 인접한 곳이다.할레비 총장은 “가자지구에서 많은 지하 시설을 발견했고, 이런 인프라를 파괴하는 것이 우리의 목표 중 하나”라고 강조했다.보도에 따르면 이스라엘은 이 작전을 같은 달 미국에도 알렸고, 미정부 관계자들 사이에 논쟁을 일으켰다고 한다. 미정부 관계자들은 “지하를 해수로 채우면 가자지구 내 지하수를 오염시켜 민간인들의 식수 공급을 악화하거나 지반을 약화할 수 있다”고 우려한 것으로 알려졌다. 아직 구출되지 못한 인질들이 수몰될 가능성도 있다. 하마스는 최근 휴전 기간 인질을 100명 넘게 석방했지만, 아직 150명 넘는 인원이 남아있는 것으로 추산된다. 이스라엘이 ‘가자 메트로(Gaza metro)’라고도 부르는 이 터널은 하마스가 무기 전달과 이동 경로 등으로 이용해왔다. 지난달 7일 이스라엘 기습 공격 이후 하마스는 터널을 활용해 자신들과 인질의 위치를 은폐하고 있다.하마스에 붙잡혔다 석방된 이스라엘 인질 요체베드리프시츠(85)는 지난달 24일 인터뷰에서 “거대한 네트워크로 된 거미줄 터널”을 목격했다고 증언했다. 그는 “터널로 들어가 부드럽고 젖은 땅을 몇 킬로미터 걸었다”고 했다.IDF는 3일 기준 “현재까지 800개의 터널을 발견해 500개를 폐쇄했다”고 밝혔다. 전체 터널은 훨씬 많을 것으로 추정된다. 미 CNN에 따르면 가자지구 땅 아래 30m 지점에 있는 터널의 총연장은 300마일(약 483㎞)에 이른다. 하마스는 500㎞라고 주장해왔다. 서울 지하철(총연장 350㎞)과 런던 지하철(약 400㎞)보다도 길다.박세영 기",2023-12-05 23:34:25
"원주문화재단, '2023 원주 그림책 페스티벌'","(사진=원주문화재단 제공)

[문학뉴스=남미리 기자] 원주문화재단(대표이사 박창호)은 ‘2023 원주 그림책 페스티벌’을 이달 8일부터 17일까지 원주 치악예술관 주차장에서 개최한다.

이번 페스티벌에선 ‘겨울·야외·야간·주차장’이라는 4가지 악조건을 발상의 전환을 통해 겨울철 야외활동이 제한될 수밖에 없는 시민들을 위해 작은 쉼터 같은 그림책 테마파크를 조성한다.

또한 이번 그림책 페스티벌은 지난 2년간 개최된 그림책 프리비엔날레에서 그림책 소재 페스티벌로 그 형태를 바꾼 행사다. 아울러 연세대학교 연세예술원이 제작한 테마뮤직을 재생해 놀이동산 같은 신나고 동화스런 분위기를 조성한다.

원주영상미디어센터 협조로 대형 프로젝터를 설치하여 페스티벌 분위기 조성에 활용할 계획이며, 그림책 출판사와 연계한 도서판매, 성우가 읽어주는 그림책 시간, 그림책 특성화 공간의 민관 거버넌스 사례에 대한 포럼 등 다채로운 부대행사도 준비된다.

행사장 바로 옆에는 사슴, 토끼 등 화려한 루미나리에 LED 경관조명이 설치돼 누구나 사진찍기 좋은 예쁜 공간을 조성한다.

모든 관람은 무료며 오후 6시 반부터 9시 반까지 하루 3시간 운영되는 이번 페스티벌은 시민들의 안전한 관람을 위해 상주 인력 배치 및 CCTV가 작동되는 구역에 조성된다.

박창호 원주문화재단 대표이사는 “상상만 했던 가로 20m, 세로 10m의 전례 없는 대형 벽면조형물이 실제로 조성된다. 전에 해보지 못한 것을 상상하고, 전례 없는 시도를 해마다 조금씩 실행해간다면 원주시가 문화 선진 도시가 될 것이다”라며 이번 페스티벌에 많은 관심을 부탁했다. 문의는 원주문화재단 시각예술팀(033-760-9834)으로 하면 된다.",2023-12-05 23:34:26
"""이건 간접 살인"" 설운도, 급발진 의심 사고 트라우마 심각..공포감 토로 ('한...",,2023-12-05 23:34:27
[포토스토리] 텅빈 골목된 최대 집창촌… '용주골' 사라지나,"[고수칼럼] 인기 높아진 커버드콜 ETF, 쉽게 접하는 오해와 진실 최근 투자자들이 관심을 보인 ETF(상장지수펀드) 중 비교적 낯선 전략을 따르는 상품이 있다. 바로 커버드콜 ETF다. 올초부터 현재까지 순매수금액 상위 10개의 ETF 중 7번째와 10번째로 순매수금액이 높은 상품이 바로 이 전략을 따른다.커버드콜 ETF의 인기 요인은 두 가지로 압축할 수 있다. 바로 고배당과 월배당이다. 커버드콜 ETF는 어떻게 운용하는 상품이기에 높은 분배금을 매월 지급해 많은 투자자들의 관심을 받게 된 것일까.━ 콜옵션 매도로 얻는 옵션 프리미엄━ETF의 분배금 재원은 투자자산이나 전략에 따라 다르다. 배당주 위주로 투자하는 ETF는 배당금, 채권 ETF는 채권 이자, 리츠 ETF는 임대료가 분배금의 재원이다. 커버드콜 ETF의 분배금 재원은 콜옵션을 매도함에 따라 지급 받는 옵션 프리미엄이다. 커버드콜 ETF의 분배금은 다른 유형의 ETF의 순자산 대비 분배금보다 높은 편이다. 또 분배금을 매월 지급하도록 매월 콜매도 계약을 맺는다. 이에 따라 커버..",2023-12-05 23:34:29
영주 아파트 8층서 40대 추락사…경찰 수사 중,"영주 아파트 8층서 40대 추락사…경찰 수사 중

입력: 2023.12.06 08:05 / 수정: 2023.12.06 08:05

영주경찰서 전경./영주=김은경 기자

[더팩트 I 영주=김은경 기자] 경북 영주의 한 아파트 8층에서 40대 남성이 추락해 숨졌다.

6일 경북소방본부 등에 따르면 전날 오후 2시 19분쯤 영주시 가흥동에서 '아파트 놀이터에 사람이 쓰러져 있다'는 신고가 접수됐다.

현장에 출동한 119구조대는 심정지 상태의 A(40대) 씨를 병원으로 이송했으나 결국 숨졌다.

경찰은 A 씨가 아파트 8층에서 추락한 것으로 보고 아파트 CCTV 영상과 목격자 등을 상대로 정확한 사고 경위를 조사 중이다.

tktf@tf.co.kr

※ 우울감 등 말하기 어려운 고민이 있거나 주변에 이런 어려움을 겪는 가족·지인이 있을 경우 자살예방 상담전화 ☎1393, 정신건강 상담전화 ☎1577-0199, 희망의 전화 ☎129, 생명의 전화 ☎1588-9191, 청소년 전화 ☎1388, 청소년 모바일 상담 ‘다 들어줄 개’ 앱, 카카오톡 등에서 24시간 전문가의 상담을 받을 수 있습니다.",2023-12-05 23:34:31
"전자통신연 AI 기술, '우후죽순' 불법 현수막 탐","뉴스투데이 전자통신연 AI 기술, '우후죽순' 불법 현수막 탐



CCTV 영상 속 쓰러진 사람 등

위험 요소를 찾아내는 시각 인공지능 기술이

불법 현수막을 탐지하는 데 활용될 전망입니다.



한국전자통신연구원은 CCTV를 통해

현수막 설치 여부를 탐지하고, 문자도 인식해 설치 시점과 내용을 인식하도록 개발한

인공지능 기술을 경남 사천시와 경북 경산시에 우선 적용한 뒤 전국으로 확대할 계획이라고

밝혔습니다.



연구팀은

어린이보호구역은 물론, 교차로 등에

무분별하게 설치된 불법 현수막은

미관을 해치는 동시에 안전을 위협하고 있다며

지자체 CCTV 관제 시스템과 연동하면

불법 현수막을 예방하고 예산과 행정력을

절감해줄 것으로 기대했습니다.







",2023-12-05 23:34:33
"'李 법카 의혹' 압수수색 받고 실종된 60대男, 익산서 무사 발견","글씨키우기 글씨줄이기 프린트 top

facebook twitter kakao story naver band share

수원 소재 세탁소 사장, 극단선택 메모 남긴 후 실종

신고 4시간20분 만에 익산 한 모텔서 무사 발견

이재명 더불어민주당 대표가 12월4일 국회에서 열린 최고위원 회의에 입장하고 있다. ⓒ연합뉴스

이재명 더불어민주당 대표의 법인카드 유용 의혹과 관련한 압수수색을 받은 후 실종됐던 세탁소 사장이 무사히 발견됐다.

6일 경기 수원서부경찰서 등에 따르면, 전날 오후 8시50분경 수원시 매산동 소재 세탁소 주인인 A씨(66)가 전라북도 익산의 한 모텔에서 무사히 발견됐다. 익산은 A씨의 고향인 것으로 전해진다.

발견 당시 A씨는 술에 취한 상태였으며 신변에는 별다른 이상이 없는 것으로 확인됐다. 경찰은 다치거나 극단적인 선택을 시도한 흔적 역시 없는 것으로 보고 A씨를 가족에 인계했다.

앞서 전날 오후 4시28분경 A씨의 딸은 ""아버지와 연락이 안 된다""며 112에 신고했다.

A씨는 극단적 선택을 암시하는 유서를 남겨둔 것으로 전해진다. 경찰은 인근 CCTV 등을 토대로 추적에 나서 신고 4시간20여 분 만에 전북 익산시 금마면 소재 한 모텔에서 A씨를 발견했다.

A씨 실종 사실이 알려진 후 검찰은 압수수색만 진행했을 뿐 A씨에 대한 직접적인 조사나 조사 계획조차 없는 상황이라며 과잉 수사 의혹을 일축했다.

이재명 더불어민주당 대표와 관련한 법인카드 유용 의혹을 수사 중인 검찰이 강제수사에 돌입했다. 수원지검 공공수사부(김동희 부장검사)는 12월4일 경기도 수원시와 의정부시에 있는 경기도청 남부청사와 북부청사 등에 검사와 수사관 30여명을 보내 관련 자료를 확보 중이다. 사진은 12월4일 오후 압수수색이 진행 중인 경기도 수원시 경기도청 모습 ⓒ 연합뉴스

A씨가 운영하는 세탁소는 이 대표의 경기지사 시절 법인카드 사용처 중 한 곳이다.

전직 경기도청 직원이자 이 사건 공익제보자인 조명현씨는 ""이 대표의 와이셔츠 등을 일부러 공관에서 20분 거리에 있는 세탁소에 가명으로 맡기고 법인카드로 결제했다""며 ""세탁된 와이셔츠는 공관으로 가져와 옷장에 걸어놨다""고 주장했다.

검찰은 조씨의 신고 내용을 검토한 국민권익위원회로부터 이 대표 사건을 넘겨받아 강제수사를 진행해왔다. 수원지검 공공수사부는 지난 4일부터 경기도청을 비롯해 법인카드 관련 장소에 대한 대대적인 압수수색을 벌이고 있다.

압수수색 영장에는 이 대표가 업무상 배임 혐의 피의자로 적시된 것으로 알려졌다.

검찰은 경기도청 등 압수수색을 통해 법인카드 사용 내역과 결재 서류 등을 확보, 압수물 분석과 컴퓨터 하드디스크 포렌식 등을 거친 후 이 대표 부인 김혜경 여사에 대한 소환조사를 벌일 방침이다.

저작권자 © 시사저널 무단전재 및 재배포 금지",2023-12-05 23:34:34
제목,기사 내용,타임스탬프
"김정재 의원, 포항 북구 특별교부세 27억원 확보","[아이뉴스24 이진우 기자] 김정재 국회의원(국민의힘·포항북구)은 5일 행정안전부로부터 지역 현안 및 재난 안전 사업 특별교부세 27억 원을 확보했다고 밝혔다.

이번에 확보한 특별교부세는 총 5개 사업 27억 원으로 지역 현안 사업 2개(9억원), 재난 안전 사업 3개(18억원)로 이뤄져 있다.

김정재 국회의원. [사진=김정재 국회의원 사무실]

지역현안 사업은 송라 여인의 숲 환경개선사업 5억원, 죽장 감곡리(리도 204) 도로 확‧포장 4억원이다.

재난안전사업은 우목터널 부체도로 사면복구 사업 13억원, 장량동‧상대동 범죄예방 및 신속대응용 방범 CCTV 설치 1억원, 인공지능(AI)기반 CCTV 설치 4억원이다.

지역 현안 사업으로 5억원이 반영된 송라 여인의 숲 환경 개선 사업은 포항시의 주요 전통 마을 숲인 송라 여인의 숲의 산림 자원을 보전함과 동시에 주변 마을 주민들에게 쉼터 공간을 조성 통해 향후 명소화가 추진된다.

또한 죽장 감곡리(리도 204)도로 확‧포장 사업은 4억원이 반영돼 미포장 및 미개설된 도로 개설을 통해 농촌주민에게 교통 편익이 제공되고 농산물 물류비가 절감될 것으로 기대된다.

재난안전 사업으로 13억이 반영된 우목터널 부체도로 사면 복구 사업은 흥해 우목터널 하부가 연약지반으로서 도로사면 옹벽에 균열이 발생하여 인접 도로가 위험한 상태로 조속히 복구 공사 추진의 필요성이 제기돼 왔다.

이번 특별교부금 13억원 확보로 복구 공사를 통해 집중호우 및 태풍 관련 피해를 대비해 안전을 확보할 수 있게 됐다.

김정재 의원은 ""이번 특별교부세 확보를 통해 주민들에게 꼭 필요한 지역 현안과 재난 안전 사업들이 조속히 추진될 수 있게 돼 지역 주민들의 삶의 질이 개선될 것으로 기대된다""며 ""앞으로도 포항시민의 안전하고 행복한 삶을 위해 주민들의 목소리에 더욱 귀 기울여 국비 확보에 최선을 다하겠다""고 말했다.",2023-12-05 23:38:26
"'이재명 법카' 압수수색 후 실종됐던 세탁소 주인, 익산서 무사히 발견","[고수칼럼] 인기 높아진 커버드콜 ETF, 쉽게 접하는 오해와 진실 최근 투자자들이 관심을 보인 ETF(상장지수펀드) 중 비교적 낯선 전략을 따르는 상품이 있다. 바로 커버드콜 ETF다. 올초부터 현재까지 순매수금액 상위 10개의 ETF 중 7번째와 10번째로 순매수금액이 높은 상품이 바로 이 전략을 따른다.커버드콜 ETF의 인기 요인은 두 가지로 압축할 수 있다. 바로 고배당과 월배당이다. 커버드콜 ETF는 어떻게 운용하는 상품이기에 높은 분배금을 매월 지급해 많은 투자자들의 관심을 받게 된 것일까.━ 콜옵션 매도로 얻는 옵션 프리미엄━ETF의 분배금 재원은 투자자산이나 전략에 따라 다르다. 배당주 위주로 투자하는 ETF는 배당금, 채권 ETF는 채권 이자, 리츠 ETF는 임대료가 분배금의 재원이다. 커버드콜 ETF의 분배금 재원은 콜옵션을 매도함에 따라 지급 받는 옵션 프리미엄이다. 커버드콜 ETF의 분배금은 다른 유형의 ETF의 순자산 대비 분배금보다 높은 편이다. 또 분배금을 매월 지급하도록 매월 콜매도 계약을 맺는다. 이에 따라 커버..",2023-12-05 23:38:29
"㈜한화 건설부문, 제주영어교육도시 5분거리 '포레나 제주에듀시티' 분양소식","'포레나 제주에듀시티' 투시도 사진= 한화/건설

[포인트데일리 윤남웅 기자] (주)한화 건설부문은 제주 서귀포시 대정읍에 조성되는 대단지 아파트 ‘포레나 제주에듀시티’를 분양 중이다.

포레나 제주에듀시티는 서귀포시 대정읍 보성리 780번지 일원에 지하 1층~지상 5층, 29개 동, 전용면적 84~210㎡, 총 503세대 규모로 조성된다. 제주도에서 기 분양된 타 단지에 비해 중형부터 대형까지 다양한 평형대로 구성된 점이 실수요자에게 큰 인기를 끌 것으로 기대된다.

포레나 제주에듀시티는 국내 최고 수준의 교육환경을 바탕으로 제주 내 신흥부촌으로 떠오른 제주영어교육도시와 차량 5분 거리에 위치해 있다. 현재 제주영어교육도시에는 세인트존스베리아카데미 제주(SJA), 노스런던칼리지에잇스쿨 제주(NLCS), 브랭섬홀아시아(BHA), 한국국제학교 제주캠퍼스(KIS) 등 4개의 국제학교가 개교한 상태다.

영어교육도시 내 국제학교 충원률이 최고치를 달성하고 있는 가운데 영어교육도시는 국제학교 추가 설립을 위한 세번째 MOU를 추가로 체결하기도 했다. 또한 영어교육도시 내에 K교육 모델을 만들 것이라는 취지로 카이스트 글로벌 캠퍼스 조성을 위한 MOU도 체결되어 외국인 교수 유치에 필요한 숙박시설, 식당, 육아 시설 등을 조성하는 방안을 구상 중이다.

포레나 제주에듀시티는 뛰어난 생활 인프라를 자랑한다. 영어교육도시 내 주요 상업시설을 이용할 수 있으며, 국내 대표 프리미엄 리조트 '제주신화월드'와 대정하나로마트를 차량으로 10분 내에 이동할 수 있다. 약 7km에 달하는 공원 탐방로가 조성된 곶자왈 도립공원, 사계해안 등의 쾌적한 자연환경을 누릴 수 있고, 블랙스톤CC, 테디밸리CC 등 레저시설도 가깝다.

또한 영어교육도시 제 2진입로에 대한 왕복 4차선 도로확장 사업이 진행 중이다. 최대 수혜지인 포레나 제주에듀시티는 영어교육도시와 대정읍으로의 접근성이 개선될 것이며, 주출입구가 4차선 도로 확장사업구간에 포함되어 등하교, 출퇴근 시 안전하고 쾌적한 도로환경이 될 것으로 예상된다.

'포레나 제주에듀시티' 조감도 사진=한화/건설

포레나 제주에듀시티는 연면적 117,616㎡의 규모(축구장 16배)와 최고 5층 높이의 단지 구성으로 쾌적한 주거환경도 갖췄다. 특히 단지는 총 3만 6,000여㎡ 규모(서귀포월드컵경기장 잔디면적 약 3.4배 크기)의 조경 설계가 적용돼 조경 비율을 약 40% 이상 확보했으며, 지상에 차가 없는 단지 배치까지 더해져 공원형 에코 타운으로 조성될 계획이다.

여기에 공원커뮤니티, 썬큰커뮤니티 등 4곳의 커뮤니티 시설을 입주민 동선을 고려해 배치했으며, 사업지역 내 단지 중 유일하게 주출입구와 부출입구를 각각 설치해 출퇴근 및 통학 시간에 혼잡 우려를 낮췄다. 또 세대당 1.9대의 지하주차장도 건립돼 넉넉한 주차공간을 확보했다.

단지 안에는 ‘메리키즈 그라운드(테마놀이터)’, ‘플레이 그라운드(어린이 놀이터)’를 비롯해 ‘주민운동시설(피트니스센터)’ 등 다양한 시설도 마련된다. 입주민 커뮤니티시설(클럽포레나)은 지하 1층에서 2층까지 3개층에 위치하고, GX룸, 골프 트레이닝센터, 작은도서관&북카페, 독서실, 게스트하우스, 스터디룸, 세탁카페 어린이집, 포레나 프리스쿨, 경로당 등도 들어선다.

세대 내부는 일반 아파트 대비 30cm 높은 2.6m 천장고 설계를 도입해 개방감이 탁월한 것도 특징이다. 여기에 층간 소음 저감을 위해 250mm 층간 소음재와 60mm 완충제를 사용하는 등 포레나만의 차별화된 설계도 적용된다.

이밖에 굿디자인 인증(포레나 엣지 룩)을 받은 월패드로 쿡탑전원차단, 주차위치확인, 엘리베이터 호출, 놀이터 CCTV 확인 등 집안과 단지 내 모니터링과 제어가 가능하다.

세대별 특화설계도 돋보인다. 84㎡(112세대)은 4Bay 판상형 맞통풍 구조로 채광과 통풍이 우수하고 주방은 대면형 아일랜드를 설치해 가족이 소통할 수 있도록 배려했다. 팬트리, 현관창고, 드레스룸 등 넉넉한 수납공간이 제공되며, 소비자 선호에 따라 알파룸과 드레스룸을 한 공간으로 선택 또는 확장이 가능하도록 했다.

가장 많은 세대수가 공급되는 99㎡A(130세대) 타입 역시 4Bay 판상형으로 넓은 드레스룸에 방 4개를 갖췄고, 풍부한 수납공간으로 공간 활용을 강화했다. 136㎡(119세대)는 4Bay 판상형 맞통풍 구조 외에 보다 넓어진 현관창고, 팬트리 등이 제공된다. 특히 현관에서 거실뿐 아니라 보조주방으로 바로 출입 가능한 ‘Two-Way’로 설계된 점도 소비자들에게 눈길을 끈다.

'포레나 제주에듀시티' 조감도 사진=한화/건설

한편 부동산 경기침체에도 불구하고 국제학교 선호도 증가로 영어교육도시 내 주거시설의 연세는 전년 대비 상승 및 유지 중으로 매매가는 전년 대비 거래량은 감소하였으나, 최근 전용 84㎡는 최고 약 8억원에 거래됐다. 이런 가운데 한화 포레나 제주에듀시티 전용 84㎡는 약 6.7억원부터 합리적인 분양가로 공급돼 주변시세 대비 저렴하다.

실수요자들의 경제적 부담을 덜기 위해 1차 계약금 1천만원 정액제와 중도금 전액 무이자의 금융혜택도 제공된다. 또한 발코니 확장 무상제공, 천장형 시스템 에어컨 무상옵션 등 파격적인 특별혜택이 제공된다. 자세한 사항은 견본주택을 방문하여 확인할 수 있다.

한화 이중석 분양소장은 “포레나 제주에듀시티는 신흥주거지로 떠오르고 있는 제주 영어교육도시 인근에 들어서는 희소성 있는 브랜드 대단지로 다양한 평형 구성을 통해 수요자들의 선택폭을 넓혔다”며, “포레나만의 프리미엄과 상품성이 더해진 만큼 고객들의 문의가 꾸준히 이어지는 중”이라고 말했다.",2023-12-05 23:38:30
"고양시, 미래 성장 동력 '지능형 도시' 본궤도 올린다","‘2023년 거점형 스마트시티 조성 사업’선정… 지능형(스마트) 도시 구현 앞장 첨단 기술이 시민 안전 지킨다… 인공지능(AI) 기반 시스템으로 관제 효율 높여

시민 참여형 ‘고양 스마트시티 리빙랩’… 도시 문제 해결 위한 생태계 구축

고양특례시(시장 이동환)는 첨단 기술로 정보를 수집하고, 데이터 기반으로 시민들의 삶의 질을 개선하는 지능형(스마트) 도시로 거듭나고 있다. 도시 인프라를 효율적으로 활용해 더 나은 서비스를 제공하고, 혜택을 누리는 주체인 시민들의 역할도 강화하고 있다.

‘2023 월드 스마트시티 엑스포’에서 기조연설 하는 이동환 고양특례시장(사진=고양시)

이동환 고양특례시장은 “스마트한 도시 플랫폼을 구축해 경쟁력을 확보하고, 지속 가능한 도시 성장을 위해 노력해 나가겠다”며 “앞으로 지능형(스마트) 도시의 확산을 견인하는 선도 도시로 성장할 고양시를 기대해 달라”고 말했다.

데이터 허브 등 8개 서비스 구축…‘거점형 스마트시티’ 건설 본격화 시동

고양특례시는 지난 5월 국토부에서 주관하는 ‘2023년 거점형 스마트시티 조성 사업’에 선정됐다. 해당 사업은 지역 특화·첨단 산업 인프라 구축을 돕고, 지능형(스마트) 도시 확산 거점으로 기능할 수 있도록 혁신적인 서비스 보급을 지원한다.

시는 앞으로 3년간 총 400억 원(국비·시비 각 200억 원)의 예산을 투입해 ‘에스-커브(S-Curve) 스마트시티’를 조성할 계획이다. 전국 지능형(스마트) 도시의 핵심 도시인 시흥·세종·대구·부산을 에스(S)자로 연결하여 고양시가 국토 스마트 공간 체계의 시작점으로서 최적의 거점 역할을 수행한다는 구상이다.

고양산업진흥원, 한국국토정보공사(LX), ㈜카카오엔터프라이즈 등 8개 기관, 기업과 함께 스마트 교통·도시 운영 인프라 분야 총 8개 사업을 추진한다. 구축할 사업은 ▲데이터 허브 ▲디지털 트윈(가상 모형) ▲수요응답형 버스 ▲교통분석 시스템 ▲드론 밸리 조성 ▲ 지능형(스마트) 행정 서비스 ▲스마트폴(지능형 기둥)과 미디어월(영상창) ▲이노베이션센터 운영 등이다.

시는 본격적인 고양형 지능형(스마트) 도시 구현을 위해 지난 10월 국토부와 협약을 맺었고, 오는 20일에는 사업을 수행할 기관, 기업과 협약을 체결할 계획이다. 또한 올해까지 실시계획을 수립해 국토부 승인을 받은 뒤 사업에 착수한다는 방침이다.

범죄·사고 예방하는 스마트안전센터… 인공지능(AI) 기반 지능형 선별관제시스템 확대

고양시 스마트안전센터에서는 지역 내 설치된 씨씨티비(CCTV) 8,967대를 대상으로 365일 24시간 동안 통합관제를 실시하고 있다. 지난 9월부터 명칭이 변경된 스마트안전센터(전 시민안전센터)는 경찰서, 소방서, 군부대, 시청 재난상황실 등과 긴밀한 협조 체계가 구축돼 지능형(스마트) 안전 도시의 핵심 역할을 수행한다.

시는 지속적으로 방범 씨씨티비(CCTV) 구축을 확대해 사회 안전망 확보에 힘쓰고 있다. 어린이 보호구역, 공원, 우범 지역 등에 설치된 씨씨티비(CCTV)에는 총 1,651대의 비상벨이 부착돼 있다. 시민들이 위급 상황 시 벨을 누르면 스마트안전센터 관제사와 연결돼 상황에 대한 안내, 조치가 가능하다. 지난해에는 방범 씨씨티비(CCTV)를 통해 9천여 건의 영상 정보를 제공했고, 강력사건 6건을 포함한 총 49건 사건 해결에 기여하기도 했다.

또한 관제 효율을 높이기 위해 인공지능(AI) 기반 지능형 선별 관제 시스템 800대를 운영한다. 지난해 처음으로 약 300대를 도입한데 이어 올해 500대가 추가로 설치됐다. 지능형 선별 관제 시스템은 인공지능 기술을 활용하여 상황에 따른 맞춤 영상 감시가 가능하다. 침입, 배회, 군집 등 특정 영상을 선별적으로 표출할 수 있어 관제 사각지대를 줄이는 대안으로 주목받고 있다. 시는 2025년까지 어린이보호구역, 학교 통학로, 공원 등을 중심으로 방범 씨씨티비(CCTV) 약 7천 대 중 30%(2천 대)에 지능형 선별 관제 시스템을 추가 도입할 예정이다.

‘고양 스마트시티 리빙랩’… 도시 문제 발굴·해결 우수 사례로 호평

지난 2018년부터 고양시와 고양산업진흥원은 ‘고양 스마트시티 리빙랩’ 사업을 함께 펼치고 있다. ‘일상생활 속 실험실’이라는 뜻의‘리빙랩(Living Lab)’은 시민들이 생활 속에서 스스로 도시 문제를 찾고, 발굴된 문제에 기업의 첨단 정보통신기술(ICT)을 적용해 지능형(스마트) 도시 서비스로 구현해 내고 있다.

지난해에는 시민해결단이 덕양구 마상공원 우범화 방지를 위해 스마트 벤치 설치를 추진했다. 스마트 벤치는 태양광 에너지를 활용해 휴대폰 무선 충전이 가능하고, LED 문자와 패턴으로 빛을 밝혀 야간 공원 이용 시 편의성을 높이는 데 기여했다. 이와 같은 리빙랩 성과를 인정받아 고양시는 ‘2023 월드 스마트시티 엑스포 어워즈’에서 ‘도시 부문’ 우수 기관으로 선정되기도 했다.

올해 ‘고양 스마트시티 리빙랩’ 사업으로는 작년에 이어 일산서구 가좌공원에 스마트 벤치가 설치됐다. 또한 일산서구 일산동의 야간 환경 개선을 위해 사물인터넷(IoT) 조명 시스템을 개발했고, 지역 내 곳곳에 시민 보행 안전을 위한 불법 적치물 검출 씨씨티비(CCTV) 연동 시스템도 구축했다.

아울러 지능형(스마트) 도시 구현에 지속적으로 동참하기 위한 문화 확산과 시민 역량 강화를 위해 ‘2023년 고양 스마트 시티즌’을 모집, 운영했다. 스마트 시티즌은 디자인 싱킹, 마을지도 만들기 등에 참여하며 과정별 도시 문제 해결을 위한 활동을 함께했다.

저작권자 © 파이낸스투데이 무단전재 및 재배포 금지

Fn투데이는 여러분의 후원금을 귀하게 쓰겠습니다.",2023-12-05 23:38:31
